HALL CONDUCTANCE COEFFICIENTS
From WANG and ZOU ET AL (2022)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
70.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
70.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
70.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
70.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
70.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
70.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
70.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
70.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
70.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
70.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
70.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
70.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
70.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
70.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
70.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
70.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
70.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
70.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
70.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
70.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
70.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
70.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
70.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
68.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
68.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
68.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
68.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
68.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
68.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
68.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
68.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
68.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
68.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
68.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
68.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
68.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
68.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
68.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
68.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
68.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
68.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
68.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
68.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
68.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
68.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
68.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
68.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
66.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
66.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
66.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
66.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
66.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
66.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
66.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
66.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
66.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
66.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
66.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
66.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
66.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
