PED CONDUCTANCE COEFFICIENTS
From WANG and ZOU ET AL (2022)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
78.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
78.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
78.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
78.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
78.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
78.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
78.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
78.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
78.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
78.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
78.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
78.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
78.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
78.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
78.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
76.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
76.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
76.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
76.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
76.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
76.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
76.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
76.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
76.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
76.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
76.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
76.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
76.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
76.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
76.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
76.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
76.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
76.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
76.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
76.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
76.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
76.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
76.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
76.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
74.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
74.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
74.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
74.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
74.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
74.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
74.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
74.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
74.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
74.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
74.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
74.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
74.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
74.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
74.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
74.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
74.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
74.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
74.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
74.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
74.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
74.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
74.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
74.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
72.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
72.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
72.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
72.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
72.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
72.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
72.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
72.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
72.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
72.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
72.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
72.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
72.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
72.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
72.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
72.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
72.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
72.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
72.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
72.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
72.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
72.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
72.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
72.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
70.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
70.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
70.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
70.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
70.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
70.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
70.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
70.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
70.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
70.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
70.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
70.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
70.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
70.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
70.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
70.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
70.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
70.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
70.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
70.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
70.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
70.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
70.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
70.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
68.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
68.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
68.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
68.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
68.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
68.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
68.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
68.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
68.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
68.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
68.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
68.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
68.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
68.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
68.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
68.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
68.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
68.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
68.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
68.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
68.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
68.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
68.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
68.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
66.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
66.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
66.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
66.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
66.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
66.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
66.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
66.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
66.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
66.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
66.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
66.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
66.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
66.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
66.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
66.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
66.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
66.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
66.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
66.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
66.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
66.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
66.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
66.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
64.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
64.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
64.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
64.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
64.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
64.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
64.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
64.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
64.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
64.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
64.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
64.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
64.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
64.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
64.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
64.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
64.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
64.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
64.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
64.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
64.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
64.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
64.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
64.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
62.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
62.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
62.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
62.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
62.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
62.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
62.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
62.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
62.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
62.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
62.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
62.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
62.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
62.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
62.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
62.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
62.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
62.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
62.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
62.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
62.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
62.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
62.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
62.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
60.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
60.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
60.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
60.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
60.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
60.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
60.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
60.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
60.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
60.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
60.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
60.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
60.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
60.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
60.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
60.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
60.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
60.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
60.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
60.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
60.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
60.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
60.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
60.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
